["211152000", "\"2021-01-08 07:23:08 GMT\""]	"211152000,\"2021-01-08 07:23:08 GMT\",53.68597,7.36043,10.4,0,511,5,0,\"URANUS\",\"DCGK\",30,5,10,3,3,1.2,\"NESSMERSIEL\",\"00-00 24:60\""
["211512510", "\"2021-01-08 07:25:51 GMT\""]	"211512510,\"2021-01-08 07:25:51 GMT\",53.53729,9.86946,0,0,511,0,0,\"HAMMONIA\",\"DA5927\",69,13,30,4,4,0.2,\"HAMBURG\",\"00-00 24:60\""
["211513100", "\"2021-01-08 07:25:52 GMT\""]	"211513100,\"2021-01-08 07:25:52 GMT\",53.51492,9.93489,360,0,511,0,0,\"NIEDERSACHSEN2\",\"DB3253\",70,93,71,4,5,2.5,\"SALZGITTER-HAMBURG\",\"06-14 09:00\""
["373838000", "\"2021-01-08 07:03:10 GMT\""]	"373838000,\"2021-01-08 07:03:10 GMT\",1.29686,103.65679,254.3,0,49,5,9595618,\"C. INNOVATOR\",\"3FGA2\",89,280,53,35,25,5.5,\"SGSIN\",\"08-25 01:00\""
["378112046", "\"2021-01-08 07:23:12 GMT\""]	"378112046,\"2021-01-08 07:23:12 GMT\",37.96065,23.5642,162.8,0,187,5,1011355,\"LIGHT HOLIC\",\"ZJL8869\",37,30,30,5,5,3.1,\"PIRAEUS\",\"09-17 06:30\""
["412378780", "\"2021-01-08 07:22:07 GMT\""]	"412378780,\"2021-01-08 07:22:07 GMT\",22.61207,113.74058,199.4,0,14,1,0,\"RONG JIA\",\"BIAK6\",33,119,35,11,11,7.5,\"GUANG ZHOU\",\"12-31 23:00\""
["412553730", "\"2021-01-08 07:23:59 GMT\""]	"412553730,\"2021-01-08 07:23:59 GMT\",21.61612,108.33049,0,0,511,5,0,\"XIN RONG HAI 11\",\"BECW9\",70,72,25,8,8,5.9,\"FANG.CHENG\",\"01-05 15:00\""
["413362740", "\"2021-01-08 07:24:27 GMT\""]	"413362740,\"2021-01-08 07:24:27 GMT\",21.66043,108.65093,322.4,2,511,0,0,\"YIHANGJUN598\",\"OD\",33,28,28,6,6,1.3,\"\",\"00-00 24:60\""
["244780236", "\"2021-01-08 07:24:54 GMT\""]	"244780236,\"2021-01-08 07:24:54 GMT\",51.23421,4.41451,26.7,0,511,15,0,\"STERN\",\"PC2668\",37,14,10,3,3,0,\"\",\"00-00 00:00\""
["244780677", "\"2021-01-08 07:25:56 GMT\""]	"244780677,\"2021-01-08 07:25:56 GMT\",53.17624,5.45157,231.6,0,511,15,0,\"WON3 VERTROUWEN\",\"PA3445\",30,19,5,3,3,0,\"HARLINGEN\",\"00-00 24:60\""
["245180000", "\"2021-01-08 07:26:01 GMT\""]	"245180000,\"2021-01-08 07:26:01 GMT\",60.41458,22.13151,37,8.9,511,0,9196216,\"OSTBORG\",\"PBAW\",70,79,10,3,9,4.7,\"TURKU\",\"01-08 07:00\""
["245959000", "\"2021-01-08 07:25:53 GMT\""]	"245959000,\"2021-01-08 07:25:53 GMT\",51.23473,3.22143,353.7,4.6,350,0,9371816,\"PROMISE\",\"PBOH\",79,113,6,8,6,3.9,\"ANTWERP\",\"12-12 23:00\""
["247225500", "\"2021-01-08 07:25:59 GMT\""]	"247225500,\"2021-01-08 07:25:59 GMT\",45.52794,12.72911,0,0,511,0,0,\"ITALO N\",\"IKNQ2\",79,54,6,5,5,1.6,\"CHIOGGIA\",\"12-19 16:00\""
["512445000", "\"2021-01-08 07:26:02 GMT\""]	"512445000,\"2021-01-08 07:26:02 GMT\",-41.3336,174.84865,199,16.2,197,0,9107942,\"KAITAKI\",\"ZMKI\",61,35,145,11,13,5.5,\"WLG/PIC\",\"01-08 10:30\""
["533049600", "\"2021-01-08 07:23:18 GMT\""]	"533049600,\"2021-01-08 07:23:18 GMT\",1.06548,103.90687,170,0,47,5,9559133,\"EPIC WAJA\",\"9MLD5\",99,6,39,3,5,2.8,\"BATAM\",\"09-04 07:00\""
["538006783", "\"2021-01-08 07:20:10 GMT\""]	"538006783,\"2021-01-08 07:20:10 GMT\",40.75179,14.44924,258.8,0,220,5,9200330,\"FEDERAL OSHIMA\",\"V7RG2\",70,172,28,11,13,8.1,\"IT TOA\",\"01-08 11:00\""
