,user,feature,target
0,USER1,90.27970653325407,1
1,USER1,114.26852153392811,1
2,USER1,104.59030487254901,1
3,USER1,86.71402816398088,1
4,USER1,97.96795518355532,1
5,USER1,95.72970023581433,1
6,USER1,102.67224692997992,1
7,USER1,87.57510370534622,1
8,USER1,92.61422238847567,1
9,USER1,103.60931844779367,1
10,USER1,105.71496786276401,1
11,USER1,94.77664135796036,1
12,USER1,93.15257818465692,1
13,USER1,93.36836375931429,1
14,USER1,100.00967363409939,1
15,USER1,87.59821634035605,1
16,USER1,96.21159686856693,1
17,USER1,105.29952347615094,1
18,USER1,94.53746185568679,1
19,USER1,99.21060957487019,1
20,USER1,90.28436552734216,1
21,USER1,92.35618248466028,1
22,USER1,92.5021242730364,1
23,USER1,99.27922631551469,1
24,USER1,103.57263309751006,1
25,USER1,93.59549122007009,1
26,USER1,85.49989763770492,1
27,USER1,105.01395828241854,1
28,USER1,99.75368515231716,1
29,USER1,99.90348117968877,1
30,USER1,97.3078416524996,1
31,USER1,106.17230152105915,1
32,USER1,92.56893331822744,1
33,USER1,93.83134349948855,1
34,USER1,98.91536581712737,1
35,USER1,104.03672374024346,1
36,USER1,105.18457464749787,1
37,USER1,92.8261359294183,1
38,USER1,90.88618979463007,1
39,USER1,96.4671774772274,1
40,USER1,91.83456801642558,0
41,USER1,95.07695466592345,0
42,USER1,85.70894812294982,0
43,USER1,84.36697559151537,0
44,USER1,89.41984811940426,0
45,USER1,125.50312760785516,0
46,USER1,184.35555552209516,0
47,USER1,216.04374006566644,0
48,USER1,188.14150191716791,0
49,USER1,130.305404990165,0
50,USER1,290.6218449621762,0
51,USER1,263.50384043490175,0
52,USER1,317.01607468311266,0
53,USER1,216.84681157670147,0
54,USER1,181.014739896167,0
55,USER1,248.98790780015392,0
56,USER1,245.3943041134951,0
57,USER1,168.443581201169,0
58,USER1,261.9532099110868,0
59,USER1,201.19872799921566,0
