numero_uai;appellation;denomination;patronyme;etat_etabl;nature_uai;lib_nature;sous_fic;field_11;Coord_X;Coord_Y
472242;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;472242;6779152
531519;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;ECOLE PRIMAIRE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;531519;6750314
531462;Ecole maternelle Bourg Joli;ECOLE MATERNELLE PUBLIQUE;BOURG JOLI;1;101;ECOLE MATERNELLE;1;;531462;6750407
518745;Ecole primaire Jacques Prévert;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;518745;6784485
508596;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;508596;6789729
517416;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;517416;6766426
517353;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;517353;6766388
470962;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;470962;6745430
501075;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;R.P.I. RUE PRINCIPALE;1;101;ECOLE MATERNELLE;1;;501075;6731178
487306;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;487306;6813621
497254;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;497254;6768572
457548;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;457548;6742029
526246;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;526246;6746818
491812;Ecole primaire Albert Camus;ECOLE PRIMAIRE PUBLIQUE;CAMUS-HUGO;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491812;6772753
470495;Ecole primaire Léo Delibes;ECOLE PRIMAIRE PUBLIQUE;LEO DELIBES;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;470495;6739283
492047;Ecole maternelle Maryse Bastié;ECOLE MATERNELLE PUBLIQUE;MARYSE BASTIE;1;101;ECOLE MATERNELLE;1;;492047;6767329
492430;Ecole maternelle Léonard de Vinci;ECOLE MATERNELLE PUBLIQUE;LEONARD DE VINCI;1;101;ECOLE MATERNELLE;1;;492430;6767792
491735;Ecole maternelle Vivaldi;ECOLE MATERNELLE PUBLIQUE;VIVALDI;1;101;ECOLE MATERNELLE;1;;491735;6767224
