CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72103,52,72,721,7213,5213,Courdemanche,236,181,55,35,32,10,22,3,212,87,6,68,28,135,98,87,6,2,0,3,37,23,14,0,101,83,68,12,0,0,3,18,11,7,0,98,9,78,11,10,2,7,1,83,8,69,6,22,1,20,1,68,168,145,2,21,0,79,133,122,4,7,0
72104,52,72,722,7222,5213,Courgains,236,186,50,39,37,8,29,2,220,94,5,80,29,127,96,84,5,4,2,1,32,17,15,0,108,91,71,18,0,1,1,18,12,4,2,96,6,76,14,8,0,3,5,90,4,77,9,29,3,23,3,66,170,139,0,31,0,66,154,132,0,22,0
72105,52,72,722,7225,5211,Courgenard,214,185,29,29,26,2,24,3,200,88,3,71,24,108,87,76,8,1,0,2,21,13,9,0,105,98,84,6,4,2,2,8,5,2,1,87,8,73,7,2,0,2,0,98,9,74,15,24,2,19,3,32,182,146,0,36,0,42,158,123,1,34,0
72106,52,72,721,7227,5214,Courtillers,455,428,27,64,62,14,48,2,292,152,10,124,32,246,230,200,10,9,1,11,16,8,9,0,209,198,169,16,12,0,1,11,5,5,0,230,23,196,12,14,11,2,1,198,5,185,8,48,1,46,1,34,420,391,26,3,0,23,269,250,12,7,0
72107,52,72,721,7215,5213,Crannes-en-Champagne,174,149,25,31,31,3,28,0,119,47,3,44,20,96,78,71,6,1,0,0,17,11,6,0,78,71,59,9,0,1,2,7,6,1,0,78,5,69,4,3,1,2,0,70,7,55,8,28,2,20,6,29,145,132,9,4,0,27,92,86,1,3,2
72108,52,72,721,7214,5212,Cré,342,297,45,49,44,4,40,5,289,145,5,109,33,183,155,140,5,0,1,9,28,14,14,0,158,141,117,20,2,0,2,17,8,8,1,154,19,126,9,3,0,3,0,140,11,116,13,40,3,33,4,40,302,195,96,10,0,62,227,178,44,3,2
72109,52,72,722,7230,5213,Crissé,206,170,36,39,37,5,32,2,188,78,5,56,22,114,90,80,5,3,1,1,24,16,8,0,92,80,69,9,2,0,0,12,12,0,0,90,10,76,4,5,2,2,1,80,4,72,4,32,1,27,4,46,160,136,18,6,0,68,120,97,12,11,0
72110,52,72,721,7214,5212,Crosmières,446,376,70,55,50,6,44,5,339,141,7,129,41,243,204,177,10,11,0,5,40,20,20,0,203,173,140,24,4,4,0,30,12,17,1,203,27,160,16,6,2,3,1,173,16,145,12,44,5,36,2,96,350,312,29,9,0,95,244,221,20,3,0
72111,52,72,722,7208,5213,Cures,260,229,31,55,53,9,44,2,230,107,11,93,32,132,113,99,6,2,0,6,20,11,8,0,127,116,102,10,1,0,3,11,6,5,0,113,13,92,7,9,2,6,1,116,8,95,12,44,3,36,5,35,225,216,1,8,0,31,199,186,5,8,0
72112,52,72,722,7222,5213,Dangeul,217,184,33,41,38,12,25,3,189,77,7,79,30,111,89,70,6,4,1,7,22,15,7,0,106,96,73,17,2,1,2,10,6,4,0,88,12,70,5,11,3,6,2,96,13,74,8,25,2,21,2,38,179,154,0,25,0,51,138,122,1,15,0
72113,52,72,722,7208,5213,Degré,390,340,50,74,71,9,62,3,304,142,6,129,48,207,167,155,7,0,0,5,40,18,22,0,183,173,160,10,0,0,3,10,6,4,0,167,15,132,20,9,4,4,1,172,10,149,13,62,5,50,7,48,342,330,4,8,0,48,256,244,7,5,0
72114,52,72,722,7210,5211,Dehault,140,116,24,21,19,2,17,2,114,50,7,43,13,69,57,53,1,1,1,1,13,8,4,0,70,59,46,3,8,0,1,12,9,2,0,57,7,47,2,2,0,2,0,59,5,50,3,17,2,15,0,27,113,96,0,17,0,25,89,70,0,19,0
72115,52,72,721,7207,5212,Dissay-sous-Courcillon,398,331,68,57,52,12,40,5,359,164,14,130,37,218,173,146,9,8,0,10,44,21,23,0,180,157,127,24,1,2,3,23,15,8,0,173,20,143,10,12,6,6,0,156,14,124,18,40,4,30,6,99,299,206,1,92,1,101,258,193,1,64,0
72116,52,72,722,7222,5213,Dissé-sous-Ballon,62,54,8,14,13,3,10,1,40,14,0,16,7,34,32,26,1,0,0,5,2,1,1,0,28,22,20,2,0,0,0,6,2,4,0,31,7,19,5,3,1,2,0,22,0,20,2,10,0,8,2,9,53,49,0,4,0,11,29,28,0,1,0
72117,52,72,721,7216,5212,Dissé-sous-le-Lude,247,195,52,43,38,6,32,5,272,111,8,108,28,136,101,91,1,3,0,6,35,18,16,1,111,94,77,13,4,0,0,17,10,7,0,101,12,83,6,6,1,4,1,94,7,77,10,32,1,29,2,52,195,142,34,19,0,60,212,167,33,12,0
72118,52,72,722,7233,5213,Dollon,586,515,71,80,71,13,59,9,446,214,13,148,55,314,271,238,20,5,1,8,43,23,20,0,271,243,213,17,6,4,4,28,18,11,0,270,36,212,22,13,3,7,3,241,22,201,18,59,6,41,12,122,464,440,0,23,0,138,308,281,1,23,3
72119,52,72,722,7208,5213,Domfront-en-Champagne,471,424,47,108,106,14,92,2,422,201,12,160,67,248,213,189,12,4,2,6,34,18,16,0,223,210,178,23,2,3,4,13,10,3,0,213,20,176,17,14,9,5,0,210,23,173,14,92,10,76,5,72,398,374,8,16,0,69,353,342,2,9,0
72120,52,72,722,7202,5213,Doucelles,117,103,15,15,15,1,15,0,67,27,0,30,12,67,55,49,3,1,0,2,12,7,5,0,50,47,37,8,3,0,0,3,1,2,0,55,5,47,3,1,0,0,1,47,2,44,1,15,1,14,0,11,106,81,2,23,0,12,55,49,1,5,0
72121,52,72,722,7212,0051,Douillet,135,102,34,23,20,6,14,3,97,34,3,29,13,77,57,39,9,4,2,3,20,13,7,0,58,45,33,8,3,1,0,13,11,2,0,57,10,44,3,6,1,4,1,45,7,36,2,14,5,8,1,42,94,62,8,23,0,38,59,46,2,11,0
72122,52,72,722,7232,5213,Duneau,421,377,44,66,64,9,55,2,306,149,5,125,40,231,204,186,5,2,1,10,27,16,11,0,190,173,150,17,5,1,0,17,7,8,2,203,23,171,9,9,5,3,1,173,19,144,10,55,6,43,6,47,374,360,0,14,0,43,263,252,0,11,0
72123,52,72,721,7217,5214,Dureil,32,20,12,4,3,0,3,1,39,12,0,10,0,17,9,7,0,1,0,1,8,6,2,0,15,11,9,2,0,0,0,4,3,1,0,9,1,8,0,0,0,0,0,10,1,7,2,2,0,2,0,13,19,14,5,0,0,17,22,18,1,3,0
72124,52,72,723,7209,5213,Écommoy,1850,1658,192,350,323,37,286,27,1591,803,49,613,269,974,853,766,45,15,2,25,121,47,71,3,876,805,668,95,10,2,30,71,39,25,7,848,107,681,60,36,12,16,8,802,96,615,91,283,31,221,31,636,1214,1121,21,71,1,645,946,902,9,34,1
72125,52,72,722,7228,5213,Écorpain,156,126,30,27,26,6,20,1,132,53,2,42,10,86,62,56,0,3,0,3,24,17,7,0,70,64,53,5,2,2,2,6,5,1,0,62,8,45,9,6,2,1,3,64,8,52,4,20,1,16,3,36,120,111,0,8,1,39,93,76,1,16,0
72126,52,72,721,7215,5213,Épineu-le-Chevreuil,125,98,27,16,15,2,13,1,96,34,0,31,14,71,55,50,2,1,0,2,16,6,10,0,54,43,36,4,2,1,0,11,6,1,4,55,5,47,3,2,1,1,0,43,2,38,3,13,0,12,1,25,100,91,4,5,0,31,65,57,2,6,0
72127,52,72,721,7231,5213,Étival-lès-le-Mans,946,887,59,203,197,15,182,6,932,463,13,409,147,477,434,404,10,7,0,13,43,18,24,0,469,453,408,37,2,0,6,16,12,4,0,434,38,345,52,15,9,4,2,451,30,366,55,179,17,144,18,114,832,805,3,24,0,102,830,812,1,17,0
72128,52,72,722,7228,5213,Évaillé,161,125,36,26,23,3,20,3,125,40,4,36,15,87,63,56,1,4,0,1,25,14,10,0,74,63,50,8,2,1,1,11,7,4,0,63,7,51,4,3,0,3,0,63,2,52,8,20,0,14,5,34,127,110,0,16,1,57,68,63,0,5,0
72129,52,72,722,7224,5213,Fatines,359,328,31,58,56,4,52,2,302,147,8,132,47,190,172,161,8,0,0,2,18,4,14,0,170,156,133,18,2,1,2,13,4,7,2,172,9,154,8,4,0,3,1,156,10,130,16,52,2,46,4,37,323,309,2,12,0,35,267,257,1,9,0
72130,52,72,723,7240,5213,Fay,280,251,30,53,51,8,43,2,241,108,4,98,33,152,129,117,8,2,0,2,22,5,17,0,128,121,108,7,5,0,1,7,4,3,0,129,9,110,10,8,4,1,3,121,6,105,10,43,2,34,7,23,257,244,5,7,0,25,216,205,4,6,1
72131,52,72,721,7231,5213,Fercé-sur-Sarthe,288,266,22,37,36,3,33,1,222,123,3,85,24,155,142,124,11,3,0,4,13,3,10,0,132,123,95,23,5,0,0,9,7,1,1,142,13,125,4,3,2,1,0,122,6,110,6,32,2,28,2,28,259,250,3,5,1,24,198,192,4,2,0
72132,52,72,722,7210,5211,La Ferté-Bernard,3620,3338,282,578,552,104,448,26,3610,1823,106,1512,455,1901,1732,1455,125,83,13,57,169,64,103,2,1719,1606,1259,214,62,38,32,113,64,45,3,1723,277,1328,118,101,23,60,17,1585,237,1195,153,438,60,328,49,2147,1473,949,18,505,1,2168,1442,934,13,494,1
72133,52,72,721,7231,5213,Fillé,707,629,79,131,121,24,97,10,495,243,10,200,72,382,338,299,19,7,1,12,44,21,23,0,325,290,254,30,2,1,4,35,16,14,5,337,28,279,31,24,9,11,4,290,20,247,24,97,10,78,10,94,614,585,5,23,1,71,424,407,3,14,0
72134,52,72,721,7207,5212,Flée,241,193,48,49,45,9,36,4,200,84,7,76,26,129,96,85,6,2,0,3,33,25,8,0,112,97,80,12,1,0,4,15,9,5,1,95,5,83,7,9,3,6,0,97,13,77,7,36,3,29,4,48,193,172,0,21,0,44,156,141,0,14,1
72135,52,72,721,7226,5213,La Fontaine-Saint-Martin,252,213,39,40,37,4,33,3,190,106,11,63,23,140,115,104,8,3,0,0,25,14,12,0,112,99,83,11,2,1,2,14,5,8,1,114,3,101,10,4,0,3,1,99,6,83,10,33,2,27,4,47,205,189,10,6,0,36,154,148,2,4,0
72136,52,72,721,7205,5214,Fontenay-sur-Vègre,163,131,32,28,24,2,22,4,117,48,1,37,14,94,70,60,5,2,0,2,24,14,10,0,70,61,53,8,0,0,0,8,4,3,1,70,6,62,1,2,0,2,0,61,6,52,3,22,3,18,1,28,135,120,8,7,0,37,80,73,4,2,1
72137,52,72,722,7211,0051,La Fresnaye-sur-Chédouet,397,325,72,64,60,10,49,4,338,144,6,120,42,217,170,153,0,10,0,7,47,26,21,0,180,155,132,17,2,3,1,25,17,7,1,168,22,132,15,8,4,4,0,154,14,136,4,49,4,42,3,106,291,63,5,224,0,120,218,41,4,171,2
72138,52,72,722,7212,0051,Fresnay-sur-Sarthe,648,563,85,111,104,16,88,7,745,351,30,291,89,339,288,232,22,17,3,15,51,18,30,3,309,275,211,41,7,10,6,35,15,19,1,283,39,218,26,16,6,8,2,265,30,211,25,88,12,68,8,244,404,264,17,123,1,379,366,234,35,97,0
72139,52,72,722,7229,0051,Fyé,475,405,70,93,89,10,79,4,351,157,7,139,56,243,191,167,11,8,1,4,52,27,23,1,232,214,183,23,0,7,1,18,8,9,1,191,25,148,18,10,1,8,1,214,26,172,16,79,14,58,7,86,389,158,6,225,0,104,247,95,1,151,0
72141,52,72,722,7229,0051,Gesnes-le-Gandelin,421,378,43,80,76,8,68,4,334,158,10,139,60,216,188,170,8,3,1,6,28,11,17,0,205,190,165,19,3,1,2,15,12,2,1,188,16,156,16,8,0,5,3,190,12,168,10,68,7,57,4,47,374,121,6,247,0,48,286,77,6,203,0
72142,52,72,722,7229,0051,Grandchamp,71,57,14,10,8,1,7,2,50,20,0,14,7,40,33,28,1,1,0,3,7,5,2,0,31,24,18,3,1,1,1,7,5,2,0,33,8,23,2,1,0,1,0,24,3,20,1,7,2,4,1,15,56,34,2,20,0,19,31,20,0,11,0
72143,52,72,721,7213,5213,Le Grand-Lucé,714,621,93,117,113,17,96,4,642,282,14,235,93,371,309,260,27,10,2,10,62,34,28,0,343,312,257,41,8,2,4,31,14,14,3,307,41,242,24,17,8,4,5,310,34,254,22,95,9,79,7,267,447,427,4,15,1,367,275,259,4,11,1
72144,52,72,722,7225,5211,Gréez-sur-Roc,141,113,28,23,20,10,10,3,130,61,4,40,14,85,67,59,6,1,0,1,18,15,3,0,56,46,43,3,0,0,0,10,8,2,0,66,9,51,6,10,3,5,2,46,5,35,6,10,1,6,3,37,104,72,0,32,0,37,93,62,1,28,2
72145,52,72,722,7230,5213,Le Grez,165,141,23,26,25,5,20,1,156,79,6,56,24,92,75,69,3,1,0,2,17,12,5,0,73,67,59,5,1,0,2,6,3,2,1,75,6,59,10,5,3,1,1,67,5,54,8,20,2,14,4,25,139,108,21,10,0,22,134,115,13,6,0
72146,52,72,721,7231,5213,Guécélard,1196,1063,133,181,174,26,148,7,1185,576,23,479,167,632,547,489,27,14,0,18,85,43,41,1,564,515,462,45,4,0,5,49,26,21,1,547,47,428,73,26,14,9,4,513,30,413,70,146,6,118,22,125,1071,1018,18,35,0,149,1036,996,8,29,3
72147,52,72,723,7201,5213,La Guierche,549,494,55,102,99,9,90,3,378,185,15,150,65,281,243,221,8,7,0,7,38,21,16,0,268,250,216,19,4,6,5,17,10,7,0,243,20,198,25,9,2,6,1,250,18,196,36,90,9,70,11,57,492,460,3,28,1,58,320,305,2,12,1
72148,52,72,722,7203,5213,Jauzé,50,36,13,12,12,3,9,0,30,11,1,9,5,29,18,14,2,0,1,1,11,4,7,0,20,18,15,1,0,2,0,2,0,2,0,18,3,13,2,3,2,1,0,18,3,13,2,9,2,7,0,9,40,38,0,2,0,9,21,18,0,3,0
72149,52,72,721,7215,5213,Joué-en-Charnie,282,232,50,45,40,13,27,5,214,101,6,73,24,164,132,106,14,4,0,8,32,20,13,0,118,101,87,10,1,2,1,18,15,3,0,132,29,97,5,13,9,3,1,101,11,83,7,27,3,20,4,64,218,204,9,6,0,56,158,139,6,13,0
72150,52,72,723,7201,5213,Joué-l'Abbé,573,516,56,108,104,11,93,4,461,217,11,197,83,283,247,228,6,5,1,7,36,12,24,0,290,270,230,32,3,1,4,20,13,8,0,247,20,211,16,11,4,6,1,270,19,225,25,93,5,73,16,51,521,508,4,10,0,52,409,396,3,10,0
72151,52,72,721,7227,5214,Juigné-sur-Sarthe,584,503,81,86,79,14,65,7,556,264,14,216,70,302,251,214,16,10,3,8,51,28,23,0,282,252,199,37,9,2,5,30,20,9,1,251,26,203,22,14,5,8,1,252,26,208,18,65,9,52,4,109,475,432,33,10,0,104,452,427,20,5,0
72152,52,72,722,7202,5213,Juillé,180,156,24,27,25,2,23,2,168,80,4,66,22,96,82,73,2,3,1,3,15,6,9,0,84,75,63,10,0,0,2,9,6,3,0,82,5,68,9,2,0,2,0,74,6,61,7,23,3,15,5,29,150,130,1,20,0,19,149,128,4,17,0
72153,52,72,721,7207,5212,Jupilles,237,182,55,45,43,4,39,2,191,72,8,62,34,119,84,76,4,2,0,2,35,21,13,1,118,98,71,21,1,2,3,20,17,3,0,84,4,73,7,4,0,4,0,98,7,87,4,39,1,35,3,64,173,155,1,17,0,78,113,97,0,16,0
72154,52,72,721,7214,5212,La Flèche,5776,5265,511,987,931,166,765,56,5939,2870,154,2485,789,3018,2738,2344,179,112,37,66,280,113,164,3,2758,2528,1985,356,72,61,54,230,126,77,27,2729,368,2100,262,162,57,70,35,2514,272,1990,252,762,86,572,104,3584,2192,1609,478,100,6,4205,1734,1272,346,111,5
72155,52,72,723,7209,5213,Laigné-en-Belin,993,897,96,198,192,28,163,6,820,396,33,336,129,523,462,420,21,9,1,11,61,29,32,0,470,435,373,45,3,6,7,35,12,19,4,461,36,395,31,27,11,13,4,435,38,368,29,163,14,142,7,147,846,819,4,20,2,154,666,633,9,23,1
72156,52,72,722,7225,5211,Lamnay,419,365,54,51,48,6,42,3,320,143,8,119,29,223,189,179,4,4,0,2,34,16,18,0,196,176,151,18,4,1,2,20,9,10,1,189,12,165,12,6,0,5,1,176,14,153,9,42,3,36,3,73,346,302,2,42,0,72,248,220,1,27,0
72157,52,72,722,7208,5213,Lavardin,328,300,28,74,72,7,64,2,299,150,6,121,56,175,156,146,5,2,0,3,18,7,11,0,153,144,130,12,2,0,0,9,5,3,1,155,13,132,10,7,3,4,0,143,7,119,17,63,2,53,8,35,293,275,3,14,1,37,262,251,4,5,2
72158,52,72,722,7233,5211,Lavaré,327,293,34,41,39,5,34,2,242,110,6,89,26,174,151,135,9,4,0,4,23,11,12,0,152,141,116,19,5,1,1,11,4,7,0,151,13,130,9,5,2,3,0,141,10,124,8,34,2,31,1,44,283,257,1,23,2,50,192,171,0,21,0
72159,52,72,721,7206,5212,Lavenay,142,122,20,27,25,4,21,2,131,66,4,47,20,75,59,50,4,1,0,4,16,6,10,0,66,62,53,9,0,0,0,4,2,2,0,59,8,46,5,4,1,2,1,62,3,50,9,21,1,16,4,26,116,73,0,41,1,28,103,81,1,21,0
72160,52,72,721,7223,5212,Lavernat,276,240,36,42,35,8,27,7,165,77,9,63,21,157,131,121,8,0,0,2,26,13,13,0,119,109,85,18,2,1,3,10,6,3,1,130,19,97,14,8,2,4,2,108,11,83,14,27,3,19,5,46,230,203,2,24,1,29,136,127,2,7,0
72161,52,72,721,7206,5212,Lhomme,347,292,55,74,71,7,64,3,322,145,9,131,56,176,139,114,16,1,1,7,37,16,20,1,171,153,123,23,0,2,4,18,7,10,1,139,24,107,7,7,0,5,2,152,11,119,22,64,3,50,11,74,273,239,0,34,0,69,253,227,0,26,0
72162,52,72,722,7211,0051,Lignières-la-Carelle,206,193,13,28,28,3,24,0,153,74,5,69,21,111,104,90,6,4,1,2,7,1,6,0,94,89,81,5,1,1,1,5,3,2,0,104,13,82,10,3,1,2,0,88,6,75,6,24,3,21,0,16,190,34,1,155,0,13,140,25,3,112,0
72163,52,72,721,7217,5213,Ligron,201,167,34,27,26,1,25,1,146,77,2,41,20,115,95,85,3,4,0,3,20,11,9,0,86,72,57,10,4,0,1,14,10,4,0,95,9,81,5,1,1,0,0,72,6,64,2,25,2,22,1,36,165,150,10,4,1,33,113,107,3,2,1
72164,52,72,722,7229,0051,Livet-en-Saosnois,38,32,6,6,6,0,6,0,26,12,0,8,3,25,21,15,0,1,0,4,4,2,2,0,13,11,11,0,0,0,0,2,2,0,0,21,5,13,2,0,0,0,0,11,0,11,0,6,0,6,0,2,36,14,0,22,0,4,22,12,0,10,0
72165,52,72,722,7224,5213,Lombron,894,819,75,137,130,16,114,7,768,386,19,295,105,489,439,389,12,18,1,19,50,22,28,0,405,380,317,39,14,4,6,25,12,9,4,439,59,344,36,16,9,6,1,379,30,311,38,113,12,87,14,125,769,733,7,29,0,140,628,599,6,23,0
72166,52,72,721,7215,5213,Longnes,167,149,18,27,25,2,23,2,112,49,3,38,18,92,83,66,6,6,2,2,9,5,4,0,75,66,49,11,4,0,2,8,7,1,0,83,11,71,1,2,1,1,0,66,10,54,2,23,2,19,2,22,145,139,4,2,0,24,88,86,1,0,1
72167,52,72,721,7227,5214,Louailles,374,335,39,42,38,3,35,4,222,112,2,94,24,208,183,162,5,9,0,7,25,12,13,0,166,152,126,19,5,1,1,13,9,3,1,182,18,155,8,3,1,2,0,152,15,129,8,35,4,27,3,45,329,296,28,5,0,36,186,176,10,0,0
72168,52,72,721,7215,5213,Loué,814,727,86,137,129,23,106,8,737,361,20,271,106,441,383,329,23,8,0,22,58,26,32,0,373,345,281,41,8,4,10,28,9,18,1,382,69,286,28,23,8,13,2,344,47,275,22,106,13,81,12,400,414,387,21,6,0,447,290,265,9,15,1
72169,52,72,721,7231,5213,Louplande,730,667,63,121,116,8,108,5,536,262,11,211,79,385,343,311,10,11,0,11,42,20,22,0,345,324,286,29,4,0,5,21,12,8,1,342,32,285,25,8,1,6,1,324,12,288,24,108,4,99,5,100,630,608,9,13,0,83,453,438,1,14,0
72170,52,72,722,7218,0051,Louvigny,74,51,23,15,13,0,13,2,58,21,0,21,5,38,23,21,2,0,0,0,15,8,7,0,36,29,23,3,1,2,0,7,4,3,0,23,3,17,2,0,0,0,0,29,3,23,3,13,1,11,1,22,52,26,1,26,0,19,39,22,0,17,0
72171,52,72,722,7211,0051,Louzes,42,35,7,7,5,1,4,2,35,17,2,10,4,25,21,20,0,0,0,1,4,4,0,0,17,14,14,0,0,0,0,3,2,1,0,21,2,15,4,1,0,1,0,14,0,13,1,4,0,3,1,6,36,14,0,22,0,11,24,14,0,10,0
72172,52,72,722,7232,5211,Le Luart,531,478,53,85,82,15,67,3,383,188,7,133,49,283,249,223,9,9,0,7,34,16,17,1,247,228,188,27,7,1,4,19,8,11,0,248,29,206,13,14,6,6,1,228,28,176,24,67,9,47,11,142,389,358,2,28,0,131,252,231,2,19,0
72173,52,72,721,7207,5212,Luceau,504,430,73,83,82,18,65,1,400,193,14,153,46,264,213,191,13,0,1,8,51,23,27,1,240,217,187,27,1,0,2,23,12,11,0,213,20,170,23,18,10,5,3,217,11,177,28,64,5,50,9,120,384,317,5,61,1,111,289,263,1,24,1
72174,52,72,722,7222,5213,Lucé-sous-Ballon,47,33,14,4,4,1,3,0,38,15,1,11,4,29,18,15,1,2,0,0,11,3,7,0,18,15,13,0,0,2,0,3,1,2,0,18,1,17,0,1,0,1,0,15,3,12,0,3,2,1,0,11,36,36,0,0,0,12,26,26,0,0,0
72175,52,72,721,7216,5212,Luché-Pringé,599,491,108,92,80,12,67,12,562,244,13,195,58,339,276,240,16,5,2,13,63,40,23,0,260,215,170,33,5,4,3,44,26,13,5,275,35,218,21,12,7,2,3,215,11,180,24,67,4,53,10,226,374,337,23,12,1,248,314,290,11,13,0
72176,52,72,721,7216,5212,Le Lude,1451,1240,210,264,252,48,204,12,1667,748,53,665,186,760,629,523,50,35,4,18,131,55,74,2,691,611,468,108,15,7,14,79,48,25,7,626,62,511,53,48,13,24,11,609,68,480,61,203,27,154,22,812,639,463,98,77,1,1192,475,359,61,55,0
72177,52,72,721,7205,5213,Maigné,159,137,22,22,20,4,16,2,146,65,2,55,14,84,66,62,0,2,1,1,18,15,3,0,74,70,62,7,1,0,0,4,4,0,0,65,5,57,4,3,0,3,0,69,3,57,10,16,1,13,2,33,126,118,0,8,0,34,112,106,3,3,0
72178,52,72,722,7204,5213,Maisoncelles,87,58,29,9,9,2,7,0,86,37,2,26,8,51,31,25,5,1,0,0,20,10,10,0,36,27,20,4,2,0,1,9,4,3,2,31,5,26,0,2,0,2,0,27,5,21,1,7,1,5,1,24,63,58,1,4,0,23,63,54,0,9,0
72179,52,72,721,7217,5213,Malicorne-sur-Sarthe,743,648,95,100,88,12,76,12,628,289,16,246,80,398,343,299,23,10,0,11,55,26,29,0,345,305,241,39,16,2,7,40,25,11,4,342,39,281,22,12,3,6,3,303,34,247,22,74,10,58,6,187,556,520,17,18,1,253,375,348,9,16,2
72180,52,72,722,7218,5213,Mamers,1855,1683,172,325,312,63,249,13,2191,1113,76,868,269,1004,887,726,89,37,4,30,117,46,70,2,851,796,633,111,16,10,25,55,27,23,4,885,128,654,102,61,19,26,15,793,96,595,102,247,33,180,33,1153,702,370,4,327,1,1372,819,482,15,322,0
72181,52,72,723,7299,5213,Le Mans,56349,52094,4256,10527,10027,2104,7923,499,56607,27206,1771,25299,8234,28564,25958,21325,2514,993,257,870,2605,1118,1468,19,27786,26135,21136,3656,428,317,598,1650,885,707,58,25860,3917,19563,2380,2051,826,1064,160,25834,3447,19348,3040,7837,1411,5564,862,41602,14748,11578,624,2524,21,43819,12788,10274,525,1932,57
72182,52,72,721,7226,5213,Mansigné,627,516,112,90,85,14,71,5,445,195,11,145,57,358,292,247,18,12,4,9,67,24,42,1,269,224,177,29,2,7,9,45,30,13,2,290,47,231,11,14,7,5,2,223,26,184,13,71,14,52,4,195,432,405,15,11,1,198,247,224,6,17,0
72183,52,72,721,7206,5212,Marçon,379,307,72,56,56,17,39,0,336,139,18,120,49,216,168,146,9,7,1,4,48,24,21,2,164,139,119,12,2,2,4,24,16,7,1,167,19,132,15,17,3,12,2,139,5,121,13,39,2,32,5,104,276,211,2,63,0,116,220,184,0,36,0
72184,52,72,721,7205,5213,Mareil-en-Champagne,154,136,18,24,23,1,22,1,128,61,3,47,13,83,73,68,3,2,0,0,11,4,7,0,71,64,55,6,0,2,1,7,3,4,0,73,10,56,7,1,1,0,0,64,9,50,5,22,5,15,2,19,135,121,6,8,0,16,112,110,1,1,0
72185,52,72,721,7214,5212,Mareil-sur-Loir,270,236,33,42,38,7,31,4,198,90,4,74,17,144,125,112,5,6,0,2,19,10,9,1,126,112,89,17,3,0,4,14,9,4,1,125,11,100,14,7,1,5,1,111,8,89,15,31,1,26,4,43,227,210,10,6,1,33,165,157,2,6,0
72186,52,72,722,7202,5213,Maresché,404,368,36,58,56,7,49,2,275,127,11,99,33,223,197,176,4,9,2,6,26,13,13,0,181,171,143,18,3,5,2,10,8,2,0,197,27,153,17,7,2,4,1,171,10,147,14,49,3,36,10,58,346,311,1,33,0,54,221,203,3,15,0
72187,52,72,723,7209,5213,Marigné-Laillé,669,597,72,117,115,19,96,2,565,262,15,216,77,371,320,285,16,10,1,8,51,24,28,0,298,277,230,28,9,3,8,21,18,2,1,318,29,264,25,18,2,13,3,276,31,219,27,96,11,77,8,119,550,523,7,19,1,139,426,402,6,14,4
72188,52,72,722,7218,5213,Marollette,67,61,6,8,7,2,5,1,58,28,3,18,8,39,33,30,3,0,0,0,6,3,2,1,28,28,26,2,0,0,0,0,0,0,0,33,4,23,6,2,0,0,2,28,2,22,4,5,0,2,3,9,58,45,0,13,0,10,48,41,0,7,0
72189,52,72,722,7222,5213,Marolles-les-Braults,754,654,99,146,136,24,111,10,704,325,18,261,77,395,324,268,29,6,3,18,71,33,38,0,358,330,271,41,6,4,8,28,11,14,3,316,50,240,26,23,9,13,1,326,31,273,22,107,11,83,13,441,313,280,2,31,0,456,248,214,1,32,1
72190,52,72,722,7228,5213,Marolles-lès-Saint-Calais,143,121,22,10,10,0,10,0,132,59,3,53,14,75,55,48,4,2,0,1,19,9,10,0,68,65,59,5,0,0,1,3,1,2,0,55,5,44,6,0,0,0,0,65,4,54,7,10,0,10,0,25,118,77,0,41,0,38,94,77,0,17,0
