CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72051,52,72,721,7226,5213,Cérans-Foulletourte,1418,1281,137,235,223,26,196,12,1037,531,35,379,142,758,674,598,35,21,2,17,84,40,45,0,660,607,492,84,13,6,12,53,29,20,4,674,68,554,51,26,7,15,4,604,52,493,59,196,19,157,20,324,1095,1056,12,26,0,321,716,689,13,14,0
72052,52,72,721,7206,5212,Chahaignes,253,196,57,60,48,11,37,12,236,89,4,86,31,140,102,88,9,0,0,4,39,18,19,1,113,95,77,15,1,0,1,18,9,9,0,101,11,80,9,11,4,6,1,94,8,69,16,37,5,24,7,70,183,150,1,29,2,88,148,126,1,21,0
72053,52,72,723,7237,5213,Challes,531,466,65,73,70,9,61,3,479,218,16,197,63,276,238,212,15,3,0,9,37,17,20,0,256,228,204,16,3,3,2,28,19,9,0,238,31,188,20,9,5,3,1,227,24,179,24,61,3,49,10,81,450,417,3,29,1,132,347,324,3,20,0
72054,52,72,722,7224,5213,Champagné,1915,1815,100,222,214,30,184,8,1485,936,44,465,172,1232,1167,718,407,18,0,24,65,27,38,0,683,648,555,74,7,2,10,35,19,16,1,1167,403,700,64,30,13,14,4,647,69,523,55,183,18,151,14,841,1074,1028,8,37,1,765,720,669,5,43,3
72056,52,72,722,7229,0051,Champfleur,671,617,54,111,105,11,94,6,539,254,13,246,87,338,302,270,17,6,0,8,37,15,21,0,332,315,280,25,5,2,2,17,9,6,2,302,30,247,25,11,3,4,4,315,23,261,31,94,5,73,15,69,601,142,5,455,0,53,486,80,4,400,2
72057,52,72,722,7225,5211,Champrond,44,31,13,4,4,0,4,0,51,18,0,19,6,24,16,15,0,1,0,0,8,6,2,0,20,15,14,1,0,0,0,5,2,3,0,16,0,16,0,0,0,0,0,15,2,13,0,4,1,3,0,13,31,31,0,0,0,15,36,33,0,3,0
72058,52,72,723,7237,5213,Changé,2538,2221,317,494,460,62,398,34,2244,1042,50,938,359,1326,1095,991,49,24,3,29,231,90,140,1,1212,1125,1007,86,11,4,18,86,47,38,1,1093,101,885,107,60,26,22,12,1123,68,931,124,398,30,315,53,456,2082,1984,18,77,3,450,1794,1724,7,62,1
72059,52,72,721,7205,5213,Chantenay-Villedieu,406,328,78,66,64,9,55,2,307,123,9,96,34,219,164,139,9,5,0,11,55,30,25,0,187,164,134,23,2,2,3,23,15,6,2,164,23,125,16,9,2,3,4,162,21,129,12,54,5,42,7,109,297,276,15,6,0,111,196,184,8,4,0
72060,52,72,721,7216,5212,La Chapelle-aux-Choux,114,105,9,21,19,2,17,2,116,56,4,35,14,59,52,44,6,0,0,2,7,2,5,0,55,53,39,13,0,1,0,2,2,0,0,52,4,39,9,2,0,2,0,53,4,47,2,17,0,15,2,15,99,67,10,20,2,32,84,65,7,12,0
72061,52,72,721,7214,5214,La Chapelle-d'Aligné,734,658,76,85,82,10,72,3,515,247,14,198,66,402,357,311,24,9,1,12,45,17,28,0,332,301,233,48,12,1,7,31,18,12,1,357,52,285,20,10,4,5,1,301,36,247,18,72,11,58,3,148,586,453,121,12,0,151,364,266,85,13,0
72062,52,72,722,7210,5211,La Chapelle-du-Bois,427,385,42,68,67,9,58,1,377,184,9,145,38,228,203,178,9,9,1,6,26,14,12,0,199,183,156,16,7,1,3,16,14,2,0,202,22,159,21,9,5,2,2,183,13,159,11,58,4,49,5,75,352,283,0,69,0,75,302,244,3,55,0
72063,52,72,721,7206,5212,La Chapelle-Gaugain,97,74,23,20,16,3,13,4,101,43,5,35,10,52,38,33,2,2,0,1,14,10,4,0,45,36,35,1,0,0,0,9,5,3,1,38,4,30,4,3,0,2,1,36,1,31,4,13,1,11,1,34,63,45,1,16,1,34,67,61,0,6,0
72064,52,72,722,7228,5213,La Chapelle-Huon,256,210,46,30,25,1,24,6,270,126,5,98,32,138,112,103,2,1,0,6,27,18,8,1,118,98,86,11,0,0,1,20,14,5,1,110,10,92,8,1,0,1,0,96,4,78,15,24,1,19,4,52,204,161,2,41,0,48,222,183,3,34,2
72065,52,72,723,7234,5213,La Chapelle-Saint-Aubin,936,849,87,175,161,28,133,14,913,431,15,412,165,483,425,381,20,10,0,14,58,24,33,1,453,424,392,26,1,1,4,29,11,15,3,425,38,319,68,28,12,12,4,424,30,326,68,133,11,97,25,127,809,759,8,41,1,120,793,755,8,29,1
72066,52,72,722,7208,5213,La Chapelle-Saint-Fray,217,195,21,38,37,4,33,1,167,79,5,66,25,115,101,86,4,5,0,6,14,4,10,0,101,94,77,12,0,2,3,7,3,4,0,101,17,72,12,4,2,1,1,94,15,72,7,33,7,23,3,15,202,192,2,7,0,18,149,144,1,4,0
72067,52,72,722,7232,5213,La Chapelle-Saint-Rémy,402,358,43,63,58,4,54,5,272,130,5,95,43,211,181,160,8,3,0,10,31,21,10,0,190,178,157,13,3,1,4,13,10,0,3,181,21,140,20,4,1,1,2,177,16,144,17,54,5,42,7,62,339,314,6,20,0,77,195,179,1,15,0
72068,52,72,721,7206,5212,La Chartre-sur-le-Loir,436,354,82,109,97,25,72,13,486,196,16,183,69,233,177,132,20,9,6,10,56,26,28,3,203,178,137,33,3,3,2,26,13,12,1,176,23,135,18,24,4,15,5,177,11,138,28,71,2,57,12,236,200,153,0,45,2,303,183,140,0,43,0
72069,52,72,722,7211,0051,Chassé,88,80,8,11,11,0,11,0,64,31,4,22,11,47,43,40,0,1,0,2,4,3,1,0,41,37,34,3,0,0,0,4,3,1,0,43,3,35,5,0,0,0,0,37,2,34,1,11,1,10,0,7,81,16,2,63,0,10,54,10,0,44,0
72070,52,72,721,7215,5213,Chassillé,128,114,14,23,21,3,18,2,101,47,4,38,12,75,62,54,4,1,0,4,12,7,6,0,54,52,47,3,0,1,1,2,2,0,0,61,11,44,6,3,1,2,0,51,7,42,3,18,1,16,1,10,118,110,4,4,0,20,81,76,2,3,0
72071,52,72,721,7207,5212,Château-du-Loir,1548,1394,154,270,255,59,195,15,1883,862,51,823,236,780,682,543,79,32,14,14,99,37,62,0,768,713,567,102,11,18,15,55,27,23,6,680,92,519,69,57,9,40,8,708,82,548,78,193,29,144,20,907,642,476,8,156,1,1285,598,483,4,111,0
72072,52,72,721,7226,5213,Château-l'Hermitage,110,101,9,10,10,1,9,0,50,26,1,15,3,65,58,52,3,1,1,0,7,5,2,0,45,43,43,0,0,0,0,2,2,0,0,58,1,53,3,1,0,1,0,43,2,36,5,9,0,7,2,14,96,94,2,0,0,5,45,38,1,5,1
72073,52,72,723,7240,5213,Chaufour-Notre-Dame,585,524,61,86,81,7,74,5,397,176,5,165,47,299,259,229,17,5,0,8,40,20,20,0,286,265,234,21,3,2,5,21,13,7,1,259,27,213,19,7,6,1,0,265,24,221,20,74,9,59,6,74,511,488,6,17,0,73,324,309,4,11,0
72074,52,72,721,7215,5213,Chemiré-en-Charnie,86,70,16,19,17,3,14,2,77,32,1,22,7,48,36,31,4,1,0,1,11,7,5,0,38,33,28,4,1,0,1,5,3,0,2,36,5,26,6,3,0,1,2,32,1,26,6,13,1,11,1,13,72,67,3,3,0,22,55,47,5,3,0
72075,52,72,721,7231,5213,Chemiré-le-Gaudin,445,396,49,62,60,11,49,2,377,177,8,120,52,251,222,197,9,6,0,10,29,15,14,0,194,174,153,19,2,0,0,20,11,9,0,220,25,176,19,11,2,5,4,174,8,153,13,49,2,41,6,65,380,368,2,10,0,89,288,284,1,3,0
72076,52,72,722,7211,0051,Chenay,85,80,5,16,16,2,14,0,53,24,1,22,7,46,43,41,0,1,0,1,3,1,2,0,39,37,35,2,0,0,0,2,1,1,0,43,1,38,4,2,0,2,0,37,1,34,2,14,0,13,1,0,85,9,1,75,0,3,50,8,0,42,0
72077,52,72,721,7216,5212,Chenu,184,148,36,33,31,6,25,2,190,77,8,62,17,108,80,73,3,2,0,2,28,15,13,0,76,68,55,12,0,0,1,8,6,1,1,80,10,58,12,6,1,3,2,68,3,53,12,25,0,19,6,66,118,56,0,62,0,95,95,59,1,34,1
72078,52,72,722,7202,5213,Chérancé,157,130,27,20,19,2,17,1,152,77,10,48,13,85,68,56,7,4,0,1,17,9,7,1,72,62,41,16,1,1,3,10,8,1,1,67,14,50,3,1,1,0,0,61,9,49,3,17,2,13,2,41,116,81,4,31,0,80,72,51,2,19,0
72079,52,72,722,7229,0051,Chérisay,137,121,16,16,15,2,13,1,104,50,6,37,15,78,63,57,4,1,0,1,15,7,8,0,59,58,53,4,0,1,0,1,0,1,0,63,7,50,6,2,2,0,0,58,1,51,6,13,1,10,2,11,126,37,0,89,0,11,93,23,0,70,0
72080,52,72,722,7210,5211,Cherré,762,688,74,105,103,10,93,2,619,296,12,252,66,387,337,306,16,9,0,6,50,24,25,1,375,351,316,22,7,3,3,24,13,11,0,337,28,274,35,10,5,1,4,351,23,288,40,93,11,74,8,227,535,417,2,116,0,170,449,373,1,75,0
72081,52,72,722,7210,5211,Cherreau,379,349,30,54,52,3,49,2,348,151,6,156,50,191,173,158,6,6,0,4,17,11,6,0,189,175,154,13,5,3,1,13,9,4,0,173,11,143,19,3,1,1,1,173,11,147,15,48,6,37,6,47,332,270,0,62,0,84,264,203,0,60,1
